Name	Description
Cc72_00013329-RA	Sin3 binding region of histone deacetylase complex subunit SAP30
Cc72_00013340-RA	-
Cc72_00013333-RA	Belongs to the mitochondrial carrier (TC 2.A.29) family
Cc72_00013341-RA	"DNA-directed RNA polymerases I, II, and III subunit RPABC5"
Cc72_00013347-RA	Nuclear transport factor 2 (NTF2) domain
Cc72_00013337-RA	Glucose-6-phosphate 1-epimerase
Cc72_00013339-RA	Plays an essential role in chain termination during de novo fatty acid synthesis
Cc72_00013336-RA	Pentatricopeptide repeat-containing protein
Cc72_00013335-RA	Pentatricopeptide repeat-containing protein
Cc72_00013355-RA	GTP cyclohydrolase I
Cc72_00013351-RA	Belongs to the cyclin family
Cc72_00013353-RA	Belongs to the cyclin family
Cc72_00013349-RA	ER lumen protein retaining receptor
Cc72_00013350-RA	Cytochrome p450
Cc72_00013348-RA	TPL-binding domain in jasmonate signalling
Cc72_00013356-RA	P-loop containing nucleoside triphosphate hydrolases superfamily protein
Cc72_00013352-RA	WD40 repeats
Cc72_00013363-RA	PDDEXK-like family of unknown function
Cc72_00013361-RA	Peptidyl-prolyl
Cc72_00013359-RA	Protein FAR1-RELATED SEQUENCE
Cc72_00013362-RA	Transcription factor
Cc72_00013357-RA	Serine threonine-protein kinase MHK-like
Cc72_00013365-RA	Auxin-induced in root cultures protein
Cc72_00013366-RA	dCTP pyrophosphatase 1-like
Cc72_00013371-RA	HAUS augmin-like complex subunit 3
Cc72_00013369-RA	YGGT family
Cc72_00013364-RA	E3 ubiquitin-protein ligase CHIP-like
Cc72_00013367-RA	TNP2-like transposon protein
Cc72_00013373-RA	Calponin homology domain
Cc72_00013374-RA	MIP18 family protein At1g68310-like
Cc72_00013372-RA	-
Cc72_00013377-RA	"Adrenodoxin-like protein, mitochondrial"
Cc72_00013378-RA	Calcium-binding protein
Cc72_00013380-RA	Emopamil binding protein
Cc72_00013375-RA	Belongs to the peptidase S10 family
Cc72_00013379-RA	CRM domain-containing protein
Cc72_00013376-RA	-
Cc72_00013383-RA	Frigida-like protein
Cc72_00013382-RA	Photosystem I reaction center subunit XI
Cc72_00013381-RA	-
Cc72_00013384-RA	Probably inactive leucine-rich repeat receptor-like protein kinase At5g48380
Cc72_00013392-RA	Possible catecholamine-binding domain present in a variety of eukaryotic proteins.
Cc72_00013388-RA	Ribonuclease T2 family
Cc72_00013391-RA	Protein of unknown function (DUF3755)
Cc72_00013385-RA	Belongs to the formin-like family
Cc72_00013386-RA	Mediator of RNA polymerase II transcription subunit 19a-like
Cc72_00013395-RA	Auxilin-related protein 2-like
Cc72_00013389-RA	Pentatricopeptide repeat-containing protein
Cc72_00013394-RA	High mobility group B protein
Cc72_00013390-RA	"Ribosomal large subunit proteins 60S L5, and 50S L18"
Cc72_00013402-RA	Mitochondrial calcium uniporter regulatory subunit MCUb-like
Cc72_00013401-RA	Pentatricopeptide repeat-containing protein
Cc72_00013406-RA	ribonuclease H protein
Cc72_00013400-RA	Eukaryotic porin
Cc72_00013404-RA	Belongs to the bacterial ribosomal protein bL17 family
Cc72_00013397-RA	Heat shock protein
Cc72_00013403-RA	LOB domain-containing protein
Cc72_00013396-RA	May be involved in modulation of pathogen defense and leaf cell death
Cc72_00013405-RA	Reticulon
Cc72_00013398-RA	Exonuclease
Cc72_00013413-RA	K homology RNA-binding domain
Cc72_00013410-RA	cytochrome b-c1 complex
Cc72_00013416-RA	Pathogenesis-related genes transcriptional activator
Cc72_00013412-RA	26S protease regulatory subunit 6B homolog
Cc72_00013409-RA	KH domain-containing protein At3g08620-like isoform X1
Cc72_00013408-RA	GTP-binding protein involved in nucleocytoplasmic transport. Required for the import of protein into the nucleus and also for RNA export. Involved in chromatin condensation and control of cell cycle
Cc72_00013414-RA	inactive receptor kinase At5g58300
Cc72_00013415-RA	Belongs to the ubiquitin-conjugating enzyme family
Cc72_00013417-RA	Pentatricopeptide repeat-containing protein
Cc72_00013418-RA	Zinc finger CCHC domain-containing protein 10-like
Cc72_00013407-RA	cytochrome P450
Cc72_00013411-RA	60S ribosomal protein
Cc72_00013422-RA	Belongs to the GRAS family
Cc72_00013423-RA	B3 domain-containing transcription repressor VAL1-like
Cc72_00013421-RA	Belongs to the cytochrome P450 family
Cc72_00013419-RA	Eukaryotic translation initiation factor 2
Cc72_00013420-RA	Belongs to the cytochrome P450 family
Cc72_00013430-RA	isoform X1
Cc72_00013426-RA	Protein FAR1-RELATED SEQUENCE 5-like
Cc72_00013429-RA	Glycosyltransferase Family 4
Cc72_00013433-RA	transcription repressor
Cc72_00013431-RA	Protein kinase domain
Cc72_00013428-RA	membrane protein At1g06890
Cc72_00013432-RA	transcription repressor
Cc72_00013424-RA	"SANT  SWI3, ADA2, N-CoR and TFIIIB'' DNA-binding domains"
Cc72_00013425-RA	Protein FAR1-RELATED SEQUENCE 5-like
Cc72_00013427-RA	FAR1 DNA-binding domain
Cc72_00013434-RA	CBL-interacting serine threonine-protein kinase 11-like
Cc72_00013435-RA	LOB domain-containing protein
Cc72_00013441-RA	U2 small nuclear ribonucleoprotein
Cc72_00013439-RA	LURP-one-related
Cc72_00013445-RA	HVA22-like protein
Cc72_00013436-RA	Belongs to the peroxidase family. Classical plant (class III) peroxidase subfamily
Cc72_00013440-RA	Mitochondrial ribosomal death-associated protein 3
Cc72_00013438-RA	RNA-directed DNA methylation 4
Cc72_00013437-RA	Nodulin-like
Cc72_00013447-RA	-
Cc72_00013448-RA	LOB domain-containing protein
Cc72_00013446-RA	-
Cc72_00013451-RA	UDP-glucosyltransferase
Cc72_00013452-RA	Belongs to the mitochondrial carrier (TC 2.A.29) family
Cc72_00013455-RA	Flavin containing amine oxidoreductase
Cc72_00013464-RA	LIM domain-containing serine threonine-protein kinase DDB_G0287001
Cc72_00013461-RA	Gamma-interferon-inducible lysosomal thiol
Cc72_00013462-RA	Protein of unknown function (DUF640)
Cc72_00013459-RA	Sodium/hydrogen exchanger family
Cc72_00013453-RA	Calcineurin-like phosphoesterase
Cc72_00013463-RA	Rab3 GTPase-activating protein catalytic
Cc72_00013460-RA	Transcription initiation factor TFIID subunit
Cc72_00013458-RA	Lignin degradation and detoxification of lignin-derived products
Cc72_00013457-RA	Lignin degradation and detoxification of lignin-derived products
Cc72_00013456-RA	-
Cc72_00013454-RA	UDP-glucosyltransferase
Cc72_00013465-RA	Glutaredoxin
Cc72_00013466-RA	bZIP Maf transcription factor
Cc72_00013472-RA	bZIP Maf transcription factor
Cc72_00013470-RA	bZIP Maf transcription factor
Cc72_00013484-RA	Uncharacterized protein conserved in bacteria (DUF2225)
Cc72_00013473-RA	Sgf11 (transcriptional regulation protein)
Cc72_00013474-RA	RING-H2 finger protein
Cc72_00013475-RA	RING-H2 finger protein
Cc72_00013476-RA	ubiquitin-protein transferase activity
Cc72_00013486-RA	protein phosphatase 2C 25
Cc72_00013482-RA	U5 small nuclear ribonucleoprotein 200 kDa
Cc72_00013488-RA	TPL-binding domain in jasmonate signalling
Cc72_00013479-RA	Pyruvate decarboxylase
Cc72_00013487-RA	PMR5 N terminal Domain
Cc72_00013481-RA	WH1 domain
Cc72_00013483-RA	proliferation-associated protein 2G4-like
Cc72_00013478-RA	6-phosphofructo-2-kinase
Cc72_00013480-RA	WH1 domain
Cc72_00013477-RA	6-phosphofructo-2-kinase fructose-2
Cc72_00013485-RA	NAC domain-containing protein
Cc72_00013493-RA	Belongs to the PdxS SNZ family
Cc72_00013489-RA	non-haem dioxygenase in morphine synthesis N-terminal
Cc72_00013492-RA	Phosphoinositide phospholipase C 2-like isoform X1
Cc72_00013491-RA	Zinc finger C-x8-C-x5-C-x3-H type (and similar)
Cc72_00013495-RA	Zinc phosphodiesterase ELAC protein 2-like
Cc72_00013494-RA	helix loop helix domain
Cc72_00013505-RA	Leucine Rich Repeat
Cc72_00013509-RA	Ribosomal protein P0 is the functional equivalent of E.coli protein L10
Cc72_00013504-RA	polyprenol biosynthetic process
Cc72_00013498-RA	PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides
Cc72_00013506-RA	DYW family of nucleic acid deaminases
Cc72_00013507-RA	Pleckstrin homology domain
Cc72_00013500-RA	pfkB family carbohydrate kinase
Cc72_00013497-RA	Putative lipopolysaccharide-modifying enzyme.
Cc72_00013510-RA	Cell division control protein 6 homolog
Cc72_00013503-RA	Belongs to the ABC transporter superfamily. ABCG family. PDR (TC 3.A.1.205) subfamily
Cc72_00013499-RA	Protein of unknown function (DUF1313)
Cc72_00013508-RA	Flavodoxin-like fold
Cc72_00013501-RA	CS domain
Cc72_00013502-RA	-
Cc72_00013511-RA	Tetratricopeptide repeat (TPR)-like superfamily protein
Cc72_00013512-RA	Myb-like DNA-binding domain
Cc72_00013514-RA	zinc finger
Cc72_00013513-RA	Transporter
Cc72_00013518-RA	Thylakoid soluble phosphoprotein TSP9
Cc72_00013520-RA	Glycosyl hydrolase family 3 C-terminal domain
Cc72_00013519-RA	JOSEPHIN-like protein
Cc72_00013517-RA	cytochrome P450
Cc72_00013529-RA	Belongs to the SKP1 family
Cc72_00013527-RA	ELM2
Cc72_00013524-RA	-
Cc72_00013523-RA	POT family
Cc72_00013530-RA	thioesterase
Cc72_00013528-RA	Protein of unknown function (DUF740)
Cc72_00013521-RA	Myb-like DNA-binding domain
Cc72_00013522-RA	Lignin degradation and detoxification of lignin-derived products
Cc72_00013531-RA	RNA recognition motif
Cc72_00013525-RA	-
Cc72_00013532-RA	This protein is an auxiliary protein of DNA polymerase delta and is involved in the control of eukaryotic DNA replication by increasing the polymerase's processibility during elongation of the leading strand
Cc72_00013536-RA	The RING-variant domain is a C4HC3 zinc-finger like motif found in a number of cellular and viral proteins. Some of these proteins have been shown both in vivo and in vitro to have ubiquitin E3 ligase activity.
Cc72_00013534-RA	"Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain"
Cc72_00013535-RA	Mitochondrial 28S ribosomal protein S34
Cc72_00013538-RA	Pentatricopeptide repeat-containing protein At4g18975
Cc72_00013537-RA	Protein kinase domain
Cc72_00013533-RA	Cytosolic enolase
Cc72_00013544-RA	Belongs to the small heat shock protein (HSP20) family
Cc72_00013543-RA	Belongs to the small heat shock protein (HSP20) family
Cc72_00013542-RA	Domain of unknown function (DUF3527)
Cc72_00013545-RA	Phosphoserine phosphatase
Cc72_00013541-RA	Plant self-incompatibility protein S1
Cc72_00013549-RA	Thylakoid lumenal 15 kDa protein
Cc72_00013547-RA	-
Cc72_00013550-RA	-
Cc72_00013554-RA	Serine threonine-protein phosphatase PP1 isozyme 2
Cc72_00013556-RA	Belongs to the sterol desaturase family
Cc72_00013552-RA	Rab subfamily of small GTPases
Cc72_00013553-RA	Metal tolerance protein
Cc72_00013551-RA	Transcription elongation factor B polypeptide
Cc72_00013557-RA	Sigma factor PP2C-like phosphatases
Cc72_00013558-RA	"Transcription factor IIA, alpha/beta subunit"
Cc72_00013561-RA	Surface antigen
Cc72_00013560-RA	-
Cc72_00013563-RA	Pumilio homolog 2-like isoform X1
Cc72_00013562-RA	Myb-like DNA-binding domain
Cc72_00013564-RA	Lignin degradation and detoxification of lignin-derived products
Cc72_00013566-RA	Haloacid dehalogenase-like hydrolase
Cc72_00013565-RA	-
Cc72_00013569-RA	Telomere repeat-binding protein
Cc72_00013568-RA	Belongs to the GRAS family
Cc72_00013567-RA	Belongs to the GRAS family
Cc72_00013573-RA	Rare lipoprotein A (RlpA)-like double-psi beta-barrel
Cc72_00013570-RA	Rab5-interacting protein (Rab5ip)
Cc72_00013574-RA	XS domain
Cc72_00013571-RA	PGR5-like protein
Cc72_00013576-RA	cytochrome P450
Cc72_00013580-RA	"Four repeated domains in the Fasciclin I family of proteins, present in many other contexts."
Cc72_00013581-RA	Protein phosphatase 2C 4
Cc72_00013577-RA	"component of the eukaryotic translation initiation factor 3 (eIF-3) complex, which is involved in protein synthesis of a specialized repertoire of mRNAs and, together with other initiation factors, stimulates binding of mRNA and methionyl-tRNAi to the 40S ribosome. The eIF-3 complex specifically targets and initiates translation of a subset of mRNAs involved in cell proliferation"
Cc72_00013579-RA	Domain of unknown function (DUF4378)
Cc72_00013582-RA	Belongs to the actin family
Cc72_00013589-RA	E3 ubiquitin-protein ligase XBAT31
Cc72_00013578-RA	Metallothionein-like protein type 2
Cc72_00013583-RA	-
Cc72_00013592-RA	Heat shock cognate 70 kDa protein
Cc72_00013591-RA	Dof zinc finger protein
Cc72_00013590-RA	Modified RING finger domain
Cc72_00013593-RA	Homeodomain
Cc72_00013595-RA	Glyoxalase-like domain
Cc72_00013600-RA	"Core component of nucleosome. Nucleosomes wrap and compact DNA into chromatin, limiting DNA accessibility to the cellular machineries which require DNA as a template. Histones thereby play a central role in transcription regulation, DNA repair, DNA replication and chromosomal stability. DNA accessibility is regulated via a complex set of post-translational modifications of histones, also called histone code, and nucleosome remodeling"
Cc72_00013597-RA	Fusaric acid resistance protein-like
Cc72_00013598-RA	DDE superfamily endonuclease
Cc72_00013596-RA	Domain in homologues of a S. cerevisiae phosphatidylinositol transfer protein (Sec14p)
Cc72_00013602-RA	"Core component of nucleosome. Nucleosomes wrap and compact DNA into chromatin, limiting DNA accessibility to the cellular machineries which require DNA as a template. Histones thereby play a central role in transcription regulation, DNA repair, DNA replication and chromosomal stability. DNA accessibility is regulated via a complex set of post-translational modifications of histones, also called histone code, and nucleosome remodeling"
Cc72_00013610-RA	"Core component of nucleosome. Nucleosomes wrap and compact DNA into chromatin, limiting DNA accessibility to the cellular machineries which require DNA as a template. Histones thereby play a central role in transcription regulation, DNA repair, DNA replication and chromosomal stability. DNA accessibility is regulated via a complex set of post-translational modifications of histones, also called histone code, and nucleosome remodeling"
Cc72_00013615-RA	NADH dehydrogenase ubiquinone 1 alpha subcomplex subunit 2
Cc72_00013604-RA	Trypsin-like serine protease
Cc72_00013612-RA	"Core component of nucleosome. Nucleosomes wrap and compact DNA into chromatin, limiting DNA accessibility to the cellular machineries which require DNA as a template. Histones thereby play a central role in transcription regulation, DNA repair, DNA replication and chromosomal stability. DNA accessibility is regulated via a complex set of post-translational modifications of histones, also called histone code, and nucleosome remodeling"
Cc72_00013613-RA	"Core component of nucleosome. Nucleosomes wrap and compact DNA into chromatin, limiting DNA accessibility to the cellular machineries which require DNA as a template. Histones thereby play a central role in transcription regulation, DNA repair, DNA replication and chromosomal stability. DNA accessibility is regulated via a complex set of post-translational modifications of histones, also called histone code, and nucleosome remodeling"
Cc72_00013605-RA	Trypsin-like serine protease
Cc72_00013616-RA	histone H2B
Cc72_00013614-RA	"Yippee zinc-binding/DNA-binding /Mis18, centromere assembly"
Cc72_00013611-RA	importin-alpha family protein binding
Cc72_00013601-RA	Domain of unknown function (DUF1985)
Cc72_00013603-RA	-
Cc72_00013609-RA	Ribonuclease H protein
Cc72_00013621-RA	Transcription factor
Cc72_00013620-RA	Domain of unknown function (DUF966)
Cc72_00013622-RA	Belongs to the MIP aquaporin (TC 1.A.8) family
Cc72_00013617-RA	TPL-binding domain in jasmonate signalling
Cc72_00013618-RA	C2H2-type zinc finger
Cc72_00013623-RA	Tetratricopeptide repeat
Cc72_00013630-RA	Exo70 exocyst complex subunit
Cc72_00013631-RA	Ankyrin repeat-containing protein
Cc72_00013626-RA	60S ribosomal protein
Cc72_00013624-RA	Belongs to the cytochrome P450 family
Cc72_00013625-RA	Belongs to the cytochrome P450 family
Cc72_00013629-RA	-
Cc72_00013627-RA	tetrahydrofolylpolyglutamate synthase activity
Cc72_00013628-RA	Mur ligase middle domain
Cc72_00013632-RA	transcription complex subunit
Cc72_00013637-RA	"Protein of unknown function, DUF604"
Cc72_00013634-RA	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
