Name,Description
glcF,"glycolate dehydrogenase, putative iron-sulfur subunit"
alaA,glutamate&mdash;pyruvate aminotransferase AlaA
kdsA,3-deoxy-D-<i>manno</i>-octulosonate 8-phosphate synthase
yccA,modulator of FtsH protease
rfaH,transcription antiterminator RfaH
rsmJ,16S rRNA m<sup>2</sup>G1516 methyltransferase
xanP,xanthine:H+ symporter XanP
ydfT,Qin prophage; putative antitermination protein Q
yoaG,DUF1869 domain-containing protein YoaG
ypfM,uncharacterized protein YpfM
murF,UDP-<i>N</i>-acetylmuramoyl-tripeptide&mdash;D-alanyl-D-alanine ligase
waaZ,lipopolysaccharide core biosynthesis protein WaaZ
smpB,SsrA-binding protein
yidR,DUF3748 domain-containing galacturonate catabolism protein YidR
yjgX,"KpLE2 phage-like element; putative phosphoethanolamine transferase YjgX, N-terminal fragment"
sraF,
yigL,phosphosugar phosphatase YigL
ymfK,e14 prophage; putative repressor protein YmfK
phoU,negative regulator of the <i>pho</i> regulon
waaS,lipopolysaccharide core biosynthesis protein WaaS
apt,adenine phosphoribosyltransferase
ygiM,putative signal transduction protein (SH3 domain)
argY,tRNA-Arg(ACG)
yaiZ,DUF2754 domain-containing protein YaiZ
yfbP,uncharacterized protein YfbP
yehS,DUF1456 domain-containing protein YehS
yqiK,flotillin family inner membrane protein YqiK
hspQ,heat shock protein HspQ
sstT,serine/threonine:Na+ symporter
umuD,DNA polymerase V protein UmuD
xylA,xylose isomerase
rcsD,RcsD-<i>N</i>-phospho-L-histidine // RcsD phosphotransferase
alsB,D-allose ABC transporter periplasmic binding protein
zraS,ZraS-<i>N</i>-phospho-L-histidine // sensor histidine kinase ZraS
gabD,succinate-semialdehyde dehydrogenase (NADP<sup>+</sup>) GabD
lpxL,lauroyl acyltransferase
thrV,tRNA-Thr(GGU)
lpxB,lipid A disaccharide synthase
tapT,tRNA 3-amino-3-carboxypropyltransferase
nanT,<i>N</i>-acetylneuraminate:H<sup>+</sup> symporter
mntR,DNA-binding transcriptional dual regulator MntR
cspA,cold shock protein CspA
shoB,toxic peptide ShoB
glyX,tRNA-Gly(GCC)
sohB,S49 peptidase family protein
paaY,"2-hydroxycyclohepta-1,4,6-triene-1-carboxyl-CoA thioesterase"
insE2,IS3 element protein InsE
sufS,L-cysteine desulfurase
ves,HutD family protein Ves
insJ,insertion element IS150 protein InsA
ybdN,putative PAPS reductase/DUF3440 domain-containing protein YbdN
yphC,putative zinc-binding dehydrogenase YphC
mokB,putative regulatory protein MokB
fdrA,putative oxamate carbamoyltransferase FdrA
yhiL,DUF4049 domain-containing protein YhiL
waaC,ADP-heptose:LPS heptosyltransferase 1
ygjH,putative tRNA-binding protein YgjH
eutS,putative ethanolamine catabolic microcompartment shell protein EutS
ilvY,DNA-binding transcriptional dual regulator IlvY
asphoP,small antisense RNA AsphoP
nanY,"KpLE2 phage-like element; 2,7-anhydro-<i>N</i>-acetylneuraminate hydratase"
ydeM,putative anaerobic sulfatase maturation enzyme YdeM
msrC,free methionine-(<i>R</i>)-sulfoxide reductase
yncI,putative transposase YncI
pmrR,small regulatory membrane protein PmrR
hupB,DNA-binding protein HU-&beta;
yjgN,inner membrane protein YjgN
tpx,lipid hydroperoxide peroxidase
yoaC,DUF1889 domain-containing protein YoaC
ygeG,TPR repeat-containing putative chaperone YgeG
chiP,chitooligosaccharide outer membrane channel
ybfO,RHS repeats-containing protein YbfO
rplR,50S ribosomal subunit protein L18
yfdH,CPS-53 (KpLE1) prophage; bactoprenol glucosyl transferase
ompC,outer membrane porin C
cpdA,cAMP phosphodiesterase
ulaB,L-ascorbate specific PTS enzyme IIB component
rhaM,L-rhamnose mutarotase
rhtB,L-homoserine/L-homoserine lactone/L-threonine exporter
insI1,IS30 transposase
ebgA,evolved &beta;-D-galactosidase subunit &alpha;
pdxB,erythronate-4-phosphate dehydrogenase
b2653,
phnE,phosphonate/phosphate ABC transporter membrane subunit
cspI,Qin prophage; cold shock-like protein CspI
hscA,iron-sulfur cluster biosynthesis chaperone HscA
cysE,serine acetyltransferase
hinT,purine nucleoside phosphoramidase
rsxE,SoxR [2Fe-2S] reducing system protein RsxE
xapB,xanthosine:H+ symporter XapB
ybeD,DUF493 domain-containing protein YbeD
yeiL,DNA-binding transcriptional activator YeiL
phoR,sensor histidine kinase PhoR
rpsP,30S ribosomal subunit protein S16
ygiA,
glrR,DNA-binding transcriptional activator GlrR-phosphorylated // DNA-binding transcriptional activator GlrR
sfsA,sugar fermentation stimulation protein A
aegA,putative oxidoreductase AegA
rspB,putative zinc-binding dehydrogenase RspB
ydgC,GlpM family protein
yddG,amino acid exporter YddG
ymfT,e14 prophage; putative DNA-binding transcriptional regulator YmfT
pheS,phenylalanine&mdash;tRNA ligase
ybhB,putative kinase inhibitor
lsrK,autoinducer-2 kinase
ubiV,ubiquinone biosynthesis protein UbiV
mog,molybdopterin adenylyltransferase
nuoE,NADH:quinone oxidoreductase subunit E
truB,tRNA pseudouridine<sup>55</sup> synthase
osmB,osmotically-inducible lipoprotein OsmB
clpX,ATP-dependent Clp protease ATP-binding subunit ClpX
tusB,sulfurtransferase complex subunit TusB
hcaE,putative 3-phenylpropionate/cinnamate dioxygenase subunit &alpha;
yehH,
ysgD,protein YsgD
astC,succinylornithine transaminase
pgpB,phosphatidylglycerophosphatase B
yagA,CP4-6 prophage; integrase core domain-containing protein YagA
abrB,putative regulator
moaE,molybdopterin synthase catalytic subunit
amn,AMP nucleosidase
yghO,putative DNA-binding transcriptional regulator YghO
ycfJ,PF05433 family protein YcfJ
glnL,protein histidine kinase NtrB
ligB,DNA ligase B
agrA,small RNA AgrA
yhdJ,DNA adenine methyltransferase
hisA,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase
G0-17132,
ycfZ,putative inner membrane protein YcfZ
glyU,tRNA-Gly(CCC)
accD,acetyl-CoA carboxyltransferase subunit &beta;
metV,tRNA-initiator Met(CAU)
yadW,protein YadW
rpsF,30S ribosomal subunit protein S6
insCD4,IS2 element transposase InsAB'
ipeX,small RNA IpeX
ylbH,putative RHS domain-containing protein YlbH
leuQ,tRNA-Leu(CAG)
ytjE,protein YtjE
ascF,&beta;-glucoside specific PTS enzyme IIBC component
yobA,copper-binding protein
dinD,DNA damage-inducible protein D
rplC,50S ribosomal subunit protein L3
ffh,signal recognition particle protein component
lpoB,outer membrane lipoprotein - activator of MrcB activity
treB,trehalose-specific PTS enzyme IIBC component
dinB,DNA polymerase IV
rsxC,SoxR [2Fe-2S] reducing system protein RsxC
yihN,putative transporter YihN
potE,putrescine transporter PotE
lacY,lactose permease
insH9,IS<i>5</i> transposase and trans-activator
hisG,ATP phosphoribosyltransferase
ykfB,CP4-6 prophage; protein YkfB
dicF,Qin prophage; small regulatory RNA DicF
rbsC,ribose ABC transporter membrane subunit
alsA,D-allose ABC transporter ATP binding subunit
ligA,DNA ligase
lysY,tRNA-Lys(UUU)
yheO,DNA-binding transcriptional regulator YheO
add,adenosine deaminase
yoeH,
xylR,DNA-binding transcriptional dual regulator XylR
ynjE,molybdopterin synthase sulfurtransferase
arsC,arsenate reductase
hokA,small toxic polypeptide
yajC,Sec translocon accessory complex subunit YajC
yidB,DUF937 domain-containing protein YidB
qseC,QseC-<i>N</i>-phospho-L-histidine // sensor histidine kinase QseC
yobD,DUF986 domain-containing inner membrane protein YobD
ylcJ,DLP12 prophage; protein YlcJ
insC3,CP4-44 prophage; IS2 insertion element repressor InsA
trpC,fused indole-3-glycerol phosphate synthase/phosphoribosylanthranilate isomerase
ydeS,putative fimbrial protein YdeS
glpK,glycerol kinase
asnC,DNA-binding transcriptional dual regulator AsnC
ffs,signal recognition particle 4.5S RNA
trpB,tryptophan synthase subunit &beta;
osmY,periplasmic chaperone OsmY
sdaA,L-serine deaminase I
arfB,"peptidyl-tRNA hydrolase, ribosome rescue factor"
lptF,lipopolysaccharide transport system protein LptF
yrhD,uncharacterized protein YrhD
ylbE,DUF1116 domain-containing protein YlbE
caiB,&gamma;-butyrobetainyl-CoA:carnitine CoA transferase
yccU,putative HspQ acetyl donor
accA,acetyl-CoA carboxyltransferase subunit &alpha;
sufE,sulfur carrier protein SufE
ampH,peptidoglycan DD-carboxypeptidase/peptidoglycan DD-endopeptidase
pgaB,"poly-&beta;-1,6-<i>N</i>-acetyl-D-glucosamine <i>N</i>-deacetylase and &beta;-1,6 glycoside hydrolase"
yiaT,outer membrane protein YiaT
insE1,IS3 element protein InsE
tldE,metalloprotease subunit TldE
astB,<i>N</i>-succinylarginine dihydrolase
yjdN,PF06983 family protein YjdN
yfbL,putative peptidase YfbL
cheB,CheB-P<SUP>asp</SUP> // protein-glutamate methylesterase/protein glutamine deamidase
glnX,tRNA-Gln(CUG)
yghW,DUF2623 domain-containing protein YghW
ynaA,Rac prophage; putative prophage tail length tape measure domain-containing protein YnaA
yicG,PF03458 family inner membrane protein YicG
csdE,sulfur acceptor protein CsdE
mntH,Mn<sup>2+</sup> : H<sup>+</sup> symporter
glyQ,glycine&mdash;tRNA ligase subunit &alpha;
hycH,formate hydrogenlyase assembly protein
ybdZ,enterobactin biosynthesis protein YbdZ
pdeL,DNA-binding transcriptional regulator/c-di-GMP phosphodiesterase PdeL
ydiH,uncharacterized protein YdiH
nrdE,ribonucleoside-diphosphate reductase 2 subunit &alpha;
ydeQ,putative fimbrial adhesin protein YdeQ
ypfN,PF13980 family protein YpfN
fdnI,formate dehydrogenase N subunit &gamma;
yciC,putative inner membrane protein
luxS,<i>S</i>-ribosylhomocysteine lyase
speC,constitutive ornithine decarboxylase
ftsZ,cell division protein FtsZ
yfcG,disulfide bond oxidoreductase YfcG
cdgI,putative c-di-GMP binding protein CdgI
ydcD,uncharacterized protein YdcD
maeA,malate dehydrogenase (oxaloacetate-decarboxylating)
ytcA,putative lipoprotein YtcA
ldrD,small toxic polypeptide LdrD
yphH,"putative DNA-binding transcriptional regulator, NAGC-like"
roxA,50S ribosomal protein L16-arginine 3-hydroxylase
ascB,6-phospho-&beta;-glucosidase AscB
maeB,malate dehydrogenase (oxaloacetate-decarboxylating) (NADP<sup>+</sup>)
ycgJ,PF05666 family protein YcgJ
purH,bifunctional AICAR transformylase/IMP cyclohydrolase
hyfD,hydrogenase 4 component D
yceF,m<sup>7</sup>GTP pyrophosphatase
ispB,<i>all-trans</i>-octaprenyl-diphosphate synthase
malP,maltodextrin phosphorylase
yjcF,pentapeptide repeat-containing protein YjcF
prmC,protein-(glutamine-N5) methyltransferase
mlaA,intermembrane phospholipid transport system - outer membrane lipoprotein MlaA
rtcA,RNA 3'-terminal phosphate cyclase
fabZ,3-hydroxy-acyl-[acyl-carrier-protein] dehydratase
nac,DNA-binding transcriptional dual regulator Nac
kdpC,K<sup>+</sup> transporting P-type ATPase subunit KdpC
yehQ,SWIM zinc finger domains-containing protein YehQ
yfaU,2-keto-3-deoxy-L-rhamnonate aldolase
mazG,nucleoside triphosphate pyrophosphohydrolase
bdcR,putative transcriptional regulator BdcR
kdpA,K<sup>+</sup> transporting P-type ATPase subunit KdpA
tomB,Hha toxicity modulator TomB
pstA,phosphate ABC transporter membrane subunit PstA
alpA,CP4-57 prophage; DNA-binding transcriptional activator AlpA
purE,<i>N<sup>5</sup></i>-carboxyaminoimidazole ribonucleotide mutase
sgrR,DNA-binding transcriptional dual regulator SgrR
valX,tRNA-Val(UAC)
aceK,isocitrate dehydrogenase kinase/phosphatase
yphE,putative ABC transporter ATP-binding protein YphE
ymiA,uncharacterized protein YmiA
ybdD,PF04328 family protein YbdD
ykgR,uncharacterized membrane protein YkgR
lsrB,Autoinducer-2 ABC transporter periplasmic binding protein
garR,tartronate semialdehyde reductase
insD5,IS2 insertion element protein InsB
pheL,<i>phe</i> operon leader peptide
mpl,"UDP-<i>N</i>-acetylmuramate&mdash;L-alanyl-&gamma;-D-glutamyl-<i>meso</i>-2,6-diaminoheptanedioate ligase"
pitB,metal phosphate:H<sup>+</sup> symporter PitB
ycdY,chaperone protein YcdY
qorA,putative quinone oxidoreductase 1
emrB,multidrug efflux pump membrane subunit EmrB
putA,fused DNA-binding transcriptional repressor / proline dehydrogenase / 1-pyrroline-5-carboxylate dehydrogenase PutA
hybB,hydrogenase 2 membrane subunit
gpr,L-glyceraldehyde 3-phosphate reductase
yjeM,putative transporter YjeM
ynbA,CDP-alcohol phosphatidyltransferase domain-containing protein YnbA
C0067,
wbbK,putative glycosyltransferase WbbK
ydaV,Rac prophage; putative ATP-binding protein YdaV
ydfX,Qin prophage; protein YdfX
hemH,ferrochelatase
selB,selenocysteyl-tRNA-specific translation elongation factor
cobU,cobinamide-P guanylyltransferase / cobinamide kinase
insH3,IS<i>5</i> transposase and trans-activator
yeaL,DUF441 domain-containing inner membrane protein YeaL
yjaG,DUF416 domain-containing protein YjaG
yjfK,DUF2491 domain-containing protein YjfK
skp,periplasmic chaperone Skp
ynaM,Rac prophage; protein YnaM
mmuP,CP4-6 prophage; <i>S</i>-methyl-L-methionine transporter
arcB,ArcB-<i>N</i>-phospho-L-histidine-292 // ArcB-phospho-L-aspartate-576 // ArcB-<i>N</i>-phospho-L-histidine-717 // sensor histidine kinase ArcB
yafU,putative inner membrane protein
yhjY,putative outer membrane protein YhjY
evgL,protein EvgL
panF,pantothenate:Na+ symporter
nadK,NAD kinase
arnT,lipid IVA 4-amino-4-deoxy-L-arabinosyltransferase
nadR,DNA-binding transcriptional repressor/NMN adenylyltransferase NadR
secF,Sec translocon accessory complex subunit SecF
pta,phosphate acetyltransferase
ygjI,putative transporter YgjI
moaB,protein MoaB
rssA,putative patatin-like phospholipase RssA
ndk,nucleoside diphosphate kinase
ypjD,cytochrome <i>c</i> assembly family protein
insCD1,IS2 element transposase InsAB'
fixB,putative electron transfer flavoprotein FixB
hcaR,DNA-binding transcriptional dual regulator HcaR
ispE,4-(cytidine 5'-diphospho)-2-<i>C</i>-methyl-D-erythritol kinase
waaJ,"UDP-glucose:(glucosyl)LPS &alpha;-1,2-glucosyltransferase"
artI,putative ABC transporter periplasmic binding protein ArtI
pstB,phosphate ABC transporter ATP binding subunit
mtr,tryptophan:H<sup>+</sup> symporter Mtr
tmaR,PTS system regulator TmaR
potI,putrescine ABC transporter membrane subunit PotI
dosP,oxygen-sensing c-di-GMP phosphodiesterase DosP
ycfH,putative metal-dependent hydrolase YcfH
queG,epoxyqueuosine reductase
grcA,stress-induced alternate pyruvate formate-lyase subunit
ydiZ,putative endoribonuclease YdiZ
hxpB,hexitol phosphatase B
ftsE,cell division protein FtsE
rraB,ribonuclease E inhibitor protein B
hypF,carbamoyl--[HypE] ligase
yiaN,"2,3-diketo-L-gulonate:Na<sup>+</sup> symporter - membrane subunit"
glnE,fused glutamine synthetase deadenylase/glutamine synthetase adenylyltransferase
argW,tRNA-Arg(CCU)
yhiJ,DUF4049 domain-containing protein YhiJ
mnmG,5-carboxymethylaminomethyluridine-tRNA synthase subunit MnmG
fepB,ferric enterobactin ABC transporter periplasmic binding protein
artJ,L-arginine ABC transporter periplasmic binding protein
yghS,putative ATP-binding protein YghS
gntU,low-affinity gluconate transporter
nanX,sialic acid transporter NanX
ybiX,PKHD-type hydroxylase YbiX
yhcA,putative fimbrial chaperone YhcA
norW,NADH:flavorubredoxin reductase
dadX,alanine racemase 2
exuT,hexuronate transporter
wcaA,"UDP-glucuronate:2-O-Ac-beta-D-Gal-(1->3)-alpha-L-Fuc-(1->4)-2/3-O-Ac-alpha-L-Fuc-(1->3)-beta-D-Glc-PP-Und beta-(1,3)-glucuronosyltranferase"
yeeW,CP4-44 prophage; putative uncharacterized protein YeeW
G0-10704,
pliG,inhibitor of g-type lysozyme
waaG,lipopolysaccharide glucosyltransferase I
pdeH,cyclic di-GMP phosphodiesterase PdeH
ptsI,PTS enzyme I
yeeZ,putative epimerase YeeZ
valT,tRNA-Val(UAC)
glcC,DNA-binding transcriptional dual regulator GlcC
tcdA,tRNA threonylcarbamoyladenosine dehydratase
ptsN,PtsN-<i>N</i>-phospho-L-histidine // phosphotransferase system enzyme IIA(Ntr)
ygeA,amino acid racemase YgeA
glnS,glutamine&mdash;tRNA ligase
tsx,nucleoside-specific channel-forming protein Tsx
dsbB,protein thiol:quinone oxidoreductase DsbB<sub>oxidized</sub> // protein thiol:quinone oxidoreductase DsbB
yagU,DUF1440 domain-containing inner membrane protein YagU
dmlA,D-malate/3-isopropylmalate dehydrogenase (decarboxylating)
rzpR,Rac prophage; putative endopeptidase RzpR
gatC,galactitol-specific PTS enzyme IIC component
ygeP,protein YgeP
ybjS,putative epimerase YbjS
ygiD,"4,5-DOPA dioxygenase extradiol"
btsR,phosphorylated DNA-binding transcriptional dual regulator BtsR // DNA-binding transcriptional dual regulator BtsR
garK,glycerate 2-kinase 1
ptsA,putative PTS multiphosphoryl transfer protein PtsA
efeU,inactive ferrous iron permease EfeU
ypeA,putative acetyltransferase YpeA
insL1,IS186/IS421 transposase
glf,UDP-galactopyranose mutase
insM,
ycgV,putative autotransporter adhesin YcgV
yehC,putative fimbrial chaperone YehC
gfcA,threonine-rich inner membrane protein GfcA
hyfE,hydrogenase 4 component E
ilvL,<i>ilvXGMEDA</i> operon leader peptide
cspG,cold shock protein CspG
cdsA,CDP-diglyceride synthetase
omrB,small regulatory RNA OmrB
ycfK,e14 prophage; protein StfP
rpoS,RNA polymerase sigma factor RpoS
dgcT,probable diguanylate cyclase DgcT
asd,aspartate-semialdehyde dehydrogenase
feoB,Fe<sup>2+</sup> transporter FeoB
ygeV,putative &sigma;<sup>54</sup>-dependent transcriptional regulator YgeV
narS,putative small regulatory RNA NarS
cyuP,L-cysteine importer
hyaC,hydrogenase 1 cytochrome <i>b</i> subunit
proB,glutamate 5-kinase
